id,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode
35,3225000,4,2.75,2060,6659,1,0,0,3,7,1280,780,1981,0,500058
36,6960000,3,2.5,2300,3060,1.5,0,0,3,8,1510,790,1930,2002,500115
37,5500000,4,1,1660,34848,1,0,0,1,5,930,730,1933,0,500052
38,6400000,4,2,2360,6000,2,0,0,4,8,2360,0,1904,0,500107
39,2400000,4,1,1220,8075,1,0,0,2,7,890,330,1969,0,500001
40,6050000,4,2.5,2620,7553,2,0,0,3,8,2620,0,1996,0,500056
41,6250000,4,2.5,2570,5520,2,0,0,3,9,2570,0,2000,0,500074
42,7750000,4,2.25,4220,24186,1,0,0,3,8,2600,1620,1984,0,500166
43,8619900,5,2.75,3595,5639,2,0,0,3,9,3595,0,2014,0,500053
44,6850000,3,1,1570,2280,2,0,0,3,7,1570,0,1922,0,500119
45,3090000,3,1,1280,9656,1,0,0,4,6,920,360,1959,0,500058
46,4880000,3,2.5,3160,13603,2,0,0,3,8,3160,0,2003,0,500019
47,2104900,3,1,990,8528,1,0,0,3,6,990,0,1966,0,500023
48,7850000,4,2.5,2290,13416,2,0,0,4,9,2290,0,1981,0,500007
49,4500000,3,1.75,1250,5963,1,0,0,4,7,1250,0,1953,0,500115
50,13500000,3,2.5,2753,65005,1,1,2,5,9,2165,588,1953,0,500070
51,2280000,3,1,1190,9199,1,0,0,3,7,1190,0,1955,0,500148
52,3450000,5,2.5,3150,9134,1,0,0,4,8,1640,1510,1966,0,500056
53,6000000,3,1.75,1410,4080,1,0,0,4,7,1000,410,1950,0,500117
54,5850000,2,1.75,1980,8550,1,0,0,3,7,990,990,1981,0,500117
55,9200000,5,2.25,2730,6000,1.5,0,0,3,8,2130,600,1927,0,500105
56,8850000,4,2.5,2830,5000,2,0,0,3,9,2830,0,1995,0,500105
57,2925000,NA,2.5,2250,4495,2,0,0,3,7,2250,0,2008,0,500042
58,3010000,3,2.5,2420,4750,2,0,0,3,8,2420,0,2003,0,500042
59,9510000,5,3.25,3250,14342,2,0,4,4,8,3250,0,1968,0,500008
60,4300000,4,3,1850,9976,2,0,0,3,8,1850,0,1991,0,500059
61,6500000,3,2.25,2150,21235,1,0,3,4,8,1590,560,1959,0,500166
62,2890000,3,1.75,1260,8400,1,0,0,3,7,1260,0,1954,0,500148
63,5050000,3,1.75,2519,8690,2,0,0,5,8,2519,0,1973,0,500166
64,5490000,3,1.75,1540,1044,3,0,0,3,8,1540,0,2014,0,500115
65,4250000,3,2.25,1660,6000,1,0,0,3,7,1110,550,1979,0,500122
66,3176250,3,2.75,2770,3809,1.5,0,0,5,7,1770,1000,1925,0,500144
67,9750000,4,2.5,2720,11049,2,0,0,3,10,2720,0,1989,0,500004
68,2870000,4,2.5,2240,4648,2,0,0,3,7,2240,0,2005,0,500001
69,2040000,3,1,1000,12070,1,0,0,4,7,1000,0,1968,0,500042
70,13300000,5,2.25,3200,20158,1,0,0,3,8,1600,1600,1965,0,500004
71,10400000,5,3.25,4770,50094,1,0,0,4,11,3070,1700,1973,0,500005
72,3250000,3,2,1260,5612,1,0,0,4,7,1260,0,1972,0,500034
73,5710000,4,2,2750,7807,1.5,0,0,5,7,2250,500,1916,0,500125
74,3600000,4,2.5,2380,NA,2,0,0,3,8,2380,0,2005,0,500038
75,3490000,3,1.75,1790,50529,1,0,0,5,7,1090,700,1965,0,500042
76,8325000,4,4,3430,35102,2,0,0,4,10,2390,1040,1986,0,500075
77,3800000,4,1.75,1760,7300,1,0,0,3,7,880,880,1956,0,500008
78,4800000,3,1,1040,5060,1,0,0,3,7,1040,0,1941,0,500116
79,4100000,3,1,1410,5060,1,0,0,4,7,910,500,1956,0,500133
80,7200000,4,2.5,3450,39683,2,0,0,3,10,3450,0,2002,0,500010
81,3900000,3,2.5,2350,NA,2,0,0,3,8,2350,0,2003,0,500038
82,3600000,4,2.5,1900,5889,2,0,0,3,7,1900,0,1992,0,500038
83,3550000,2,1,2020,6720,1,0,0,3,7,1010,1010,1948,0,500118
84,3560000,3,1.5,1680,8712,1,0,0,3,8,1680,0,1964,0,500059
85,3150000,3,1,960,6634,1,0,0,3,6,960,0,1952,0,500125
86,9400000,3,1.5,2140,3600,2,0,0,3,9,1900,240,1925,0,500119
87,3050000,5,2.25,2660,8400,1.5,0,0,5,7,2660,0,1961,0,500092
88,4610000,3,3.25,2770,6278,2,0,0,3,9,1980,790,2006,0,500056
89,2150000,2,2.25,1610,2040,2,0,0,4,7,1610,0,1979,0,500056
90,3350000,2,1.75,1030,1066,2,0,0,3,7,765,265,2006,0,500136
91,2435000,4,2.5,1980,7403,2,0,0,3,7,1980,0,1988,0,500023
92,11000000,5,2.75,3520,6353,2,0,0,4,10,3520,0,2001,0,500199
93,1530000,3,1,1200,10500,1,0,0,3,7,1200,0,1962,0,500023
94,4300000,3,1.5,1580,5000,1,0,0,3,8,1290,290,1939,0,500117
95,7000000,3,1.5,1580,5000,1,0,0,3,8,1290,290,1939,0,500117
96,9050000,4,2.5,3300,10250,1,0,0,3,7,2390,910,1946,1991,500040
97,2475000,3,1.75,1960,15681,1,0,0,3,7,1960,0,1967,0,500032
98,1990000,4,1.5,1160,6400,1,0,0,4,7,1160,0,1975,0,500023
99,3140000,3,1.75,1810,41800,1,0,0,5,7,1210,600,1980,0,500038
100,4375000,3,2.5,2320,36847,2,0,2,3,9,2320,0,1992,0,500045
101,8508300,3,2.5,2070,13241,1.5,0,0,5,9,1270,800,1910,0,500102
102,5550000,3,2,1980,NA,1.5,0,0,4,7,1440,540,1929,0,500117
103,6999500,3,2.25,2190,107593,2,0,0,4,8,2190,0,1983,0,500077
104,10900000,3,2.5,2920,8113,2,0,0,3,8,2920,0,1950,2010,500004
105,2900000,3,1,1210,33919,1,0,0,3,7,1210,0,1954,0,500058
106,3750000,3,2.5,2340,10005,1,0,0,4,8,1460,880,1978,0,500058
107,4600000,3,1,1670,4005,1.5,0,0,4,7,1170,500,1939,0,500117
108,1885000,2,1.75,1240,2493,1,0,0,4,8,1240,0,1985,0,500198
109,6800000,4,2.5,3140,28037,2,0,0,4,10,3140,0,1991,0,500077
110,4700000,5,1.75,2030,12342,2,0,0,4,7,2030,0,1942,0,500052
111,5977500,4,2.5,2310,9624,2,0,0,3,8,2310,0,1984,0,500027
112,5700000,3,1.75,1260,3328,1,0,0,5,6,700,560,1905,0,500103
113,2725000,3,1.75,1540,12600,1,0,0,4,7,1160,380,1980,0,500038
114,3299500,3,1.75,2080,5969,1,0,2,3,7,1080,1000,1971,0,500108
115,4800000,4,2.5,3230,16171,2,0,3,3,9,2520,710,2001,0,500001
116,7405000,3,3.5,4380,6350,2,0,0,3,8,2780,1600,1900,1999,500117
117,5185000,3,3.5,1590,1102,3,0,0,3,8,1590,0,2010,0,500103
118,2054250,2,1,880,6780,1,0,0,4,6,880,0,1945,0,500178
119,1718000,4,2,1570,9600,1,0,0,3,6,1570,0,1950,0,500168
120,5350000,4,1,1610,2982,1.5,0,0,4,7,1610,0,1925,0,500144
121,6600000,3,2.5,2400,6474,1,0,2,3,8,1560,840,1964,0,500177
122,3915000,3,2,1450,9132,1,0,0,3,7,1450,0,1987,0,500034
123,3950000,2,1,770,6000,1,0,0,3,6,770,0,1953,0,500117
124,4450000,4,1.75,2100,NA,1.5,0,0,5,7,1720,380,1924,0,500118
125,7700000,3,2.25,2910,10204,2,0,0,3,9,2910,0,1990,0,500052
126,14500000,4,2.75,2750,17789,1.5,0,0,3,8,1980,770,1914,1992,500004
127,4450000,3,2.25,2100,8201,1,0,2,3,8,1620,480,1967,0,500178
128,2600000,4,2.25,2160,8811,1,0,0,3,8,1360,800,1978,0,500023
129,8225000,5,3.5,2320,4960,2,0,0,5,7,1720,600,1926,0,500103
130,4300000,NA,2.5,2070,4310,2,0,0,3,7,2070,0,2004,0,500065
131,2120000,3,1.75,1060,7875,1,0,0,4,7,1060,0,1986,0,500092
132,6605000,4,2.25,2010,9603,1,0,0,3,8,1440,570,1986,0,500027
133,7840000,3,3.5,3950,111078,1.5,0,0,3,9,2460,1490,1989,0,500052
134,4532460,3,2.5,2010,2287,2,0,0,3,8,1390,620,2014,0,500029
135,6750000,4,3.5,2140,2278,3,0,0,3,9,2140,0,2005,0,500107
136,1990000,3,1.75,1320,17390,1,0,0,4,7,1320,0,1956,0,500003
137,2200000,4,1.75,2020,7840,1,0,0,3,7,1010,1010,1968,0,500003
138,4520000,4,2.25,2590,10002,1,0,0,4,8,1340,1250,1968,0,500028
139,3825000,2,1,1190,4440,1,0,0,3,6,1190,0,1981,0,500125
140,5199500,3,2.25,1170,1249,3,0,0,3,8,1170,0,2014,0,500107
141,6650000,2,1,1110,3200,1,0,0,3,7,1110,0,1925,0,500119
142,5277000,5,2.5,2820,9375,1,0,0,4,8,1550,1270,1968,0,500006
143,2050000,3,1,1610,8579,1,0,0,4,7,1010,600,1962,0,500058
144,4200000,3,1,1060,8097,1,0,0,4,7,940,120,1923,0,500133
145,5000000,4,2.25,2030,8517,1,0,0,4,8,1380,650,1961,0,500006
146,9215000,4,2.5,3670,315374,2,0,0,4,9,3670,0,1994,0,500077
147,8900000,4,1,2550,4000,2,0,0,3,8,2370,180,1905,0,500109
148,4300000,2,2.5,2420,60984,2,0,0,3,7,2420,0,2007,0,500027
149,2580000,5,2,2260,12500,1,0,0,4,8,1130,1130,1960,0,500032
150,5110000,3,1,1430,3455,1,0,0,3,7,980,450,1947,0,500103
151,5321700,3,2,1360,3090,2,0,0,3,8,1360,0,1990,0,500103
152,5600000,3,1,1110,5000,1.5,0,0,3,7,1110,0,1947,0,500107
153,2829500,3,1,1250,8200,1,0,0,4,7,1250,0,1954,0,500003
154,22500000,4,3.25,5180,19850,2,0,3,3,12,3540,1640,2006,0,500006
155,3500000,1,1,700,5100,1,0,0,3,7,700,0,1942,0,500115
156,2150000,3,1,1180,7669,1,0,0,4,7,1180,0,1967,0,500058
157,6500000,5,3.5,3960,25245,2,0,0,3,9,2500,1460,1996,0,500056
158,3200000,4,2.75,2640,7500,1,0,0,3,8,1620,1020,1967,0,500023
159,2470000,3,2,1270,7198,1.5,0,0,3,7,1270,0,1916,2013,500022
160,3200000,4,1.75,1760,11180,1,0,0,4,8,1760,0,1968,0,500059
161,2550000,5,2.25,2060,8632,1,0,0,3,7,1030,1030,1962,0,500146
162,4380000,3,1.75,1780,9660,1,0,0,3,7,1780,0,1962,0,500034
163,9000000,3,2.5,3400,16603,2,0,0,3,10,3400,0,2000,0,500075
164,4410000,3,2.75,1910,7280,1,0,0,3,7,1160,750,1979,0,500034
165,4200000,3,2,2020,38332,1,0,0,4,7,1010,1010,1975,0,500027
166,3700000,3,1.75,1580,7000,1,0,0,3,7,1180,400,1976,0,500034
167,2699500,2,1.75,1340,7250,1,0,0,5,5,700,640,1949,0,500198
168,8071000,4,2.5,2680,4499,2,0,0,3,9,2680,0,1999,0,500006
169,6530000,3,2.5,2680,9750,1,0,0,4,8,1610,1070,1979,0,500034
170,3715000,3,2,1370,8336,1,0,0,5,7,1370,0,1964,0,500133
171,2840000,3,1.75,1560,21000,1,0,0,3,7,1560,0,1954,0,500166
172,2720000,3,1.75,2160,7140,1,0,0,4,7,1670,490,1978,0,500023
173,3130000,3,1.5,1340,7912,1.5,0,0,3,7,1340,0,1955,0,500133
174,9175000,4,2.5,3880,35003,2,0,0,3,10,2570,1310,1984,0,500033
175,6730000,4,2.25,2590,8190,2,0,0,4,8,2590,0,1980,0,500006
176,4250000,3,2.5,1120,1100,2,0,0,3,8,820,300,2008,0,500122
177,3999500,5,2.75,1970,5400,1,0,0,3,7,1320,650,1986,0,500144
178,3850000,3,1,1220,4800,1,0,0,3,6,1220,0,1901,0,500122
179,2699500,3,1.5,1950,7560,1,0,2,4,7,1320,630,1975,0,500022
180,3300000,2,1,1350,8220,1,0,0,3,7,1060,290,1949,0,500177
181,2600000,3,2.5,1670,5797,2,0,0,3,7,1670,0,1988,0,500030
182,4700000,4,3,2380,5125,1.5,0,0,4,7,1680,700,1925,0,500126
183,5890000,4,3,2440,9600,2,0,0,5,7,2440,0,1961,0,500034
184,1635000,2,1.5,1050,3419,2,0,0,3,7,1050,0,1996,0,500038
185,8350000,4,2.75,3130,13412,2,0,0,3,9,2140,990,1993,0,500052
186,11000000,5,3,4090,12850,1,0,2,4,10,2090,2000,1986,0,500033
187,2690000,4,1.75,1490,10000,1,0,0,4,8,1100,390,1969,0,500023
188,5600000,3,2.5,1900,8744,2,0,0,3,8,1900,0,1987,0,500074
189,6150000,4,1,1330,2400,1.5,0,0,4,6,1330,0,1901,0,500103
190,5851880,3,2.25,2230,10026,1,0,0,3,8,1430,800,1975,0,500052
191,3050000,3,1.75,1650,9480,1,0,0,3,7,1220,430,1977,0,500034
192,1669500,3,1,1190,8820,1,0,0,3,6,1190,0,1959,0,500058
193,7990000,3,2.5,2140,9897,1,0,0,4,8,2140,0,1959,0,500040
194,4000000,3,2.5,2180,7508,1,0,0,4,7,1420,760,1962,0,500133
195,2300000,3,1,1060,10228,1,0,0,3,7,1060,0,1948,0,500155
196,2568830,3,2.5,1690,5025,2,0,0,3,8,1690,0,2003,0,500023
197,4230000,4,2,1970,6480,1.5,0,0,5,7,1130,840,1920,0,500108
198,4650000,3,2.5,2150,4084,2,0,0,3,8,2150,0,2007,0,500126
199,4400000,3,2.5,1910,66211,2,0,0,3,7,1910,0,1997,0,500024
200,3850000,3,1.75,1350,NA,1,0,0,4,7,1350,0,1969,0,500038
201,2100000,NA,1,860,11725,1,0,0,4,6,860,0,1943,0,500056
202,2970000,3,2.5,1940,14952,2,0,0,3,8,1940,0,1994,0,500042
203,4700000,3,1,1010,NA,1,0,0,3,7,1010,0,1952,0,500107
204,2265000,3,1.5,1300,7370,1,0,0,4,7,900,400,1976,0,500023
205,2742500,3,1,910,8450,1,0,0,4,6,910,0,1962,0,500059
206,8400000,4,1.75,2480,11010,1,0,0,4,9,1630,850,1966,0,500040
207,6779000,3,2.5,2440,4587,2,0,0,3,8,2440,0,2010,0,500052
208,4250000,3,1,1010,5864,1,0,0,3,7,1010,0,1915,0,500116
209,1802500,2,0.75,900,9600,1,0,0,3,6,900,0,1941,0,500166
210,4640000,6,3,2300,3404,2,0,0,3,7,1600,700,1920,1994,500133
211,3200000,4,2.25,1550,7579,2,0,0,3,8,1550,0,1993,0,500038
212,6255040,3,2.25,1270,1566,2,0,0,3,8,1060,210,2014,0,500105
213,5925000,4,2.5,2240,12032,1,0,0,3,9,2240,0,1983,0,500074
214,4650000,3,2.5,2714,17936,2,0,0,3,9,2714,0,2005,0,500001
215,4770000,4,2.75,1720,6270,2,0,0,3,8,1720,0,1978,0,500118
216,2800000,2,1,850,16400,1,0,0,3,6,850,0,1923,0,500168
217,15100000,5,3,3300,33474,1,0,3,3,9,1870,1430,1957,1991,500040
218,4458380,3,2.5,2250,5692,2,0,0,3,8,2250,0,2000,0,500146
219,10700000,2,2.25,3900,14864,1,0,3,3,8,1950,1950,1947,0,500144
220,4670000,2,1.5,1320,10800,1,0,0,4,8,1320,0,1947,0,500177
221,6860000,4,2.5,2760,6440,2,0,0,3,10,2760,0,1999,0,500075
222,2799500,3,2,1750,9750,1,0,0,3,7,1350,400,1961,0,500198
223,5270000,4,2.25,2330,19436,2,0,0,3,8,2330,0,1987,0,500011
224,3250000,3,2.25,2220,16020,1,0,0,4,8,1780,440,1966,0,500030
225,3280000,3,2.25,2020,8379,2,0,0,3,7,2020,0,1994,0,500038
226,3900000,3,2.25,1250,7500,1,0,0,5,7,1250,0,1942,0,500146
227,4799500,2,2,1510,6516,1,0,0,3,8,1510,0,2005,0,500053
228,2649500,4,2.25,1720,9753,1,0,0,4,7,1120,600,1978,0,500023
229,2350000,3,1,1430,15246,1,0,0,4,7,980,450,1961,0,500031
230,5165000,3,2.5,1480,4729,2,0,0,3,7,1480,0,2004,0,500053
231,6550000,2,1.75,1450,15798,2,1,4,3,7,1230,220,1915,1978,500166
232,5000000,4,2.75,2280,15347,1,0,0,5,7,2280,0,1960,0,500059
233,3150000,6,2.75,2940,7350,1,0,0,3,8,1780,1160,1978,0,500023
234,2130000,2,1,1000,10200,1,0,0,3,6,1000,0,1961,0,500024
235,4750000,3,1.5,2480,5280,1.5,0,0,5,7,1620,860,1947,0,500108
236,10300000,5,4,3760,28040,2,0,0,3,10,3760,0,1983,0,500033
237,4160000,3,2,2220,94300,1,0,0,5,7,1640,580,1976,0,500010
238,4100000,4,1,1970,4740,1.5,0,0,3,7,1670,300,1904,2005,500122
239,8000000,3,3.5,3830,221284,2,0,0,3,10,3530,300,1993,0,500077
240,4720000,6,2.5,4410,14034,1,0,2,4,9,2350,2060,1965,0,500003
241,2250000,3,1.75,1430,8505,1,0,0,4,7,1430,0,1968,0,500003
242,2100000,2,1,830,6000,1,0,0,3,6,830,0,1940,0,500126
243,4550000,2,1,1430,5000,1.5,0,0,2,7,1430,0,1925,0,500115
244,2250000,3,1,1300,8316,1,0,0,4,6,1300,0,1954,0,500002
245,4800000,NA,1,1030,3060,1,0,2,4,7,790,240,1918,0,500103
246,3630000,3,2.5,2740,11872,2,0,0,3,9,2740,0,1990,0,500023
247,24000000,4,2.5,3650,8354,1,1,4,3,9,1830,1820,2000,0,500074
248,1810000,2,1.5,720,5120,1,0,0,3,6,720,0,1954,0,500106
249,2500000,4,2,2010,7312,1,0,0,4,7,2010,0,1976,0,500002
250,4810000,3,1.75,1560,3000,1,0,0,4,6,770,790,1918,0,500103
251,2600000,3,2,1810,7209,1,0,0,4,7,1240,570,1978,0,500032
252,4550000,4,2.5,3360,7685,2,0,0,3,9,3360,0,2001,0,500058
253,4150000,3,2.25,1510,NA,2,0,0,3,8,1510,0,1991,0,500045
254,3495000,3,1,1400,3538,1,0,0,3,7,800,600,1953,0,500118
255,2450000,3,2.5,1730,7442,2,0,0,3,7,1730,0,1987,0,500030
256,5925000,2,2,1420,9191,1.5,0,2,5,7,1420,0,1928,0,500115
257,3850000,4,1.75,2360,7620,1,0,0,4,7,1180,1180,1955,0,500106
258,3150000,NA,1.75,1580,11455,1,0,0,4,7,1200,380,1974,0,500059
259,2550000,3,1,1230,10170,1,0,0,3,7,1230,0,1979,0,500045
260,6930000,4,2.5,2460,NA,2,0,0,3,8,2460,0,2006,0,500052
261,7800000,3,1,1660,4400,1.5,0,0,3,8,1460,200,1911,0,500112
262,2370000,3,1.75,1270,8470,1,0,0,4,7,1270,0,1960,0,500198
263,5250000,3,2.25,2100,40510,2,0,0,3,10,1320,780,1979,0,500074
264,4250000,2,1,770,5040,1,0,0,3,5,770,0,1930,0,500144
265,3699000,1,0.75,760,10079,1,1,4,5,5,760,0,1936,0,500070
266,2900000,4,2.5,1700,7280,2,0,0,4,7,1700,0,1988,0,500031
267,2850000,3,1,1120,10701,1,0,0,3,7,1120,0,1954,0,500106
268,4150000,2,1,1070,4500,1,0,0,3,7,1070,0,1937,0,500115
269,2725000,3,2.5,2070,9900,1,0,0,3,8,1420,650,1979,0,500023
270,29000000,4,3.25,5050,20100,1.5,0,2,3,11,4750,300,1982,2008,500004
271,13700000,4,4.75,5310,57346,2,0,0,4,11,5310,0,1989,0,500077
272,4360000,2,1,1040,7538,1,0,0,4,7,1040,0,1939,0,500133
273,2100000,3,1,1700,11390,1,0,0,4,7,1700,0,1967,0,500003
274,2360000,3,1,1300,5898,1,0,0,3,7,1300,0,1961,0,500178
275,3310000,3,1.75,1080,1306,1,0,0,3,7,580,500,1954,2003,500199
276,3650000,3,2.5,2653,4510,2,0,0,3,8,2653,0,2006,0,500031
277,4500000,3,2,2290,16258,1,0,0,5,8,2290,0,1960,0,500058
278,7700000,4,2.75,3820,26300,2,0,0,3,9,2850,970,2014,0,500028
279,4550000,4,2.5,2210,49375,1,0,0,3,8,2210,0,1997,0,500038
280,4050000,3,1.75,2390,6000,1,0,0,3,6,1240,1150,1908,0,500118
281,3049000,4,1.75,2600,11325,1,0,0,4,7,1610,990,1969,0,500031
282,1700000,2,1,860,5265,1,0,0,3,6,860,0,1931,0,500178
283,20500000,5,3,3830,8480,2,0,1,5,9,2630,1200,1905,1994,500122
284,7800000,4,2.5,3500,7048,2,0,0,3,9,3500,0,2005,0,500053
285,3300000,3,3,2420,13959,1,0,0,4,8,1740,680,1988,0,500028
286,3700000,4,2.5,2720,8666,2,0,0,3,9,2720,0,1992,0,500030
287,4670000,5,2.25,2500,13500,1,0,0,3,7,1850,650,1979,0,500072
288,4050000,3,1.75,1670,6720,1,0,0,3,7,1140,530,1980,0,500034
289,6750000,5,2.25,2900,10300,1,0,0,3,8,1450,1450,1985,0,500006
290,5000000,2,1,1640,14100,1,0,0,4,7,1140,500,1954,0,500006
291,3899990,4,2.5,1890,15770,2,0,0,4,7,1890,0,1968,0,500166
292,6300000,4,1.75,2950,9025,1,0,2,4,8,1780,1170,1975,0,500034
293,3600000,4,2.5,2160,9528,2,0,0,3,9,2160,0,1992,0,500001
294,5800000,4,3,3280,11060,2,0,0,3,8,2270,1010,1986,0,500056
295,5500000,3,2,1970,4166,2,0,3,5,8,1270,700,1929,0,500126
296,8790000,4,2.5,3360,22111,2,0,0,3,10,3360,0,1994,0,500075
297,2650000,3,2,1320,8959,1,0,0,3,7,1320,0,1993,0,500042
298,4465000,3,2.5,2650,7286,2,0,0,3,8,2650,0,1990,0,500059
299,4040000,3,1.5,2030,8880,1,0,0,3,7,1330,700,1963,0,500108
300,2675000,3,1.75,1590,11914,1,0,2,3,7,1090,500,1957,0,500188
301,30800000,4,5,4550,18641,1,1,4,3,10,2600,1950,2002,0,500074
302,3350000,NA,2.5,2440,7632,2,0,0,3,8,2440,0,1998,0,500003
303,5760000,3,2.5,1940,9000,1,0,0,4,7,970,970,1948,0,500117
304,2086330,3,2.5,2040,3810,2,0,0,3,8,2040,0,2006,0,500038
305,3150000,3,2.25,2200,8750,1,0,0,4,7,1120,1080,1964,0,500166
306,7250000,3,1.75,1920,3300,1,0,0,4,8,960,960,1913,0,500112
307,5500000,4,2.75,1800,7750,1,0,0,4,8,1400,400,1965,0,500177
308,6107500,4,2.25,2180,7297,2,0,0,3,8,2180,0,1984,0,500074
309,5507000,2,1,1010,5000,1.5,0,0,4,6,1010,0,1908,0,500105
310,6650000,4,2.75,3320,10574,2,0,0,5,8,2220,1100,1960,0,500056
311,8340000,4,2.5,2370,4000,1.5,0,2,5,8,1980,390,1928,0,500144
312,2010000,5,1.75,1660,78408,1.5,0,0,3,6,1660,0,1915,0,500065
313,23800000,5,2.5,3650,9050,2,0,4,5,10,3370,280,1921,0,500119
314,13800000,4,3.25,4290,12103,1,0,3,3,11,2690,1600,1997,0,500006
315,14000000,4,3.25,4290,12103,1,0,3,3,11,2690,1600,1997,0,500006
316,3050000,4,2.25,1950,7700,1,0,0,3,8,1350,600,1979,0,500058
317,4870000,3,2,2590,14052,1,0,0,5,8,1720,870,1948,0,500133
318,3900000,3,2.5,1930,NA,1,0,0,4,8,1930,0,1988,0,500042
319,5480000,2,1,1470,NA,1,0,0,4,7,1170,300,1916,0,500103
320,2687500,4,1,800,8775,1,0,0,3,6,800,0,1943,0,500166
321,8199000,5,2.75,3150,7119,2,0,0,3,9,3150,0,2013,0,500052
322,5200000,3,2.25,2030,16200,2,0,0,3,8,2030,0,1984,0,500027
323,2300000,3,2,1450,11204,1,0,0,3,7,1450,0,2003,0,500001
324,2400000,3,1.75,1510,10248,1,0,0,3,7,1510,0,1969,0,500023
325,2320000,2,1,1240,12092,1,0,0,3,6,960,280,1922,1984,500146
326,2405000,2,1,1240,12092,1,0,0,3,6,960,280,1922,1984,500146
327,2749750,3,2.5,3030,45004,2,0,0,3,9,3030,0,1987,0,500077
328,7400000,4,2,2050,4400,1.5,0,0,4,9,2050,0,1922,0,500102
329,1863750,3,1,1000,7636,1,0,0,2,7,1000,0,1952,0,500166
330,7900000,3,2.25,2370,10289,1,0,0,4,9,1590,780,1977,0,500005
331,8800000,4,3.5,2800,6750,2,0,0,3,9,1890,910,1951,2002,500105
332,2790000,6,1.75,2240,11180,2,0,0,4,7,2240,0,1955,0,500198
333,2950000,3,2,1810,10530,1,0,2,3,8,1810,0,1991,0,500022
334,6400000,2,1,1070,5000,1,0,0,3,7,1070,0,1924,0,500103
335,9400000,4,2,2490,9525,2,0,0,5,9,2490,0,1968,0,500040
336,2600000,4,2.5,1960,5238,2,0,0,3,7,1960,0,2003,0,500038
337,5599000,3,2.75,2930,5569,1,0,0,3,9,1860,1070,2004,0,500072
338,7915000,4,2,1510,3500,1.5,0,0,5,7,1510,0,1911,0,500103
339,2650000,3,1.75,1420,8250,1,0,0,3,7,1420,0,1954,0,500133
340,2450000,3,1.75,1740,11547,1,0,0,3,7,1740,0,1954,0,500178
341,4850000,4,1.75,2560,43995,2,0,0,4,7,2560,0,1962,0,500052
